PMID,Author,Affiliation
12180486,"Keating, Michael",-
12180486,"Hallek, Michael",-
12376762,"Yamaguchi, T","Department of Veterinary Microbiology, Faculty of Agriculture, Gifu University, Japan. yamaguti@cc.gifu-u.ac.jp"
12376762,"Igusa, A",-
12376762,"Setiyono, A",-
12376762,"Fukushi, H",-
12376762,"Hirai, K",-
12354476,"Remuzzi, Giuseppe","Ospedali Riuniti Di Bergam, Unit of Nephrology and Dialysis, Aldo and Cele Daccò Clinical Research Centre for Diseases, Mario Negri Institute for Parmacological Research, Via Gavazzeni 1124125, Bergamo, Italy. gremuzzi@marionegri.it"
12354476,"Chiurchiu, Carlos",-
12354476,"Abbate, Mauro",-
12354476,"Brusegan, Verusca",-
12354476,"Bontempelli, Mario",-
12354476,"Ruggenenti, Piero",-
12373143,"Dean, Nicola R","Co-operative Research Centre for Tissue Growth and Repair, Child Health Research Institute, Department of Plastic and Reconstructive Surgery, Royal Adelaide Hospital and University of Adelaide, Adelaide, Australia."
12373143,"Brennan, James",-
12373143,"Haynes, Julie",-
12373143,"Goddard, Christopher",-
12373143,"Cooter, Rodney D",-
12184326,"Knosalla, Christoph",-
12184326,"Gollackner, Bernd",-
12184326,"Cooper, David K",-
12473204,"Sawada, Hiroo","Institute for Molecular Science of Medicine, Aichi Medical University Yazako, Nagakute, Aichi 480-1195, Japan."
12473204,"Shinomura, Tamayuki",-
12473204,"Kimata, Koji",-
12473204,"Takeuchi, Jun",-
12473204,"Tsuji, Takuo",-
12473204,"Watanabe, Hideto",-
12037148,"Herold, Kevan C","Naomi Berrie Diabetes Center and the Department of Medicine, Division of Endocrinology, College of Physicians and Surgeons, Columbia University, New York 10032, USA. kh318@columbia.edu"
12037148,"Hagopian, William",-
12037148,"Auger, Julie A",-
12037148,"Poumian-Ruiz, Ena",-
12037148,"Taylor, Lesley",-
12037148,"Donaldson, David",-
12037148,"Gitelman, Stephen E",-
12037148,"Harlan, David M",-
12037148,"Xu, Danlin",-
12037148,"Zivin, Robert A",-
12037148,"Bluestone, Jeffrey A",-
12044041,"Lorenz, Hanns M","Rheumatology/Institute for Clinical Immunology, Department of Medicine III, University of Erlangen-Nuremberg, Germany. Hannes.Lorenz@med3.imed.uni-erlangen.de"
12456023,"Zola, H",-
12118902,"Ahsan, Nasimul","Nephrology and Transplant Division, University of Medicine and Dentistry of New Jersey, New Brunswick 08904, USA. ahsanna@umdnj.edu"
12118902,"Holman, Michael J",-
12118902,"Jarowenko, Mark V",-
12118902,"Razzaque, Mohammad S",-
12118902,"Yang, Harold C",-
12497001,"Bono, A V","Division of Urology, Ospedale di Circolo e Fondazione Macchi, Varese, Italy."
12497001,"Celato, N",-
12497001,"Cova, V",-
12497001,"Salvadore, M",-
12497001,"Chinetti, S",-
12497001,"Novario, R",-
12052067,"Zhang, Wei","Wyeth BioPharma, Genetics Institute Campus, One Burtt Road, Andover, Massachusetts 01810, USA. wxzhang@genetics.com"
12052067,"Czupryn, Marta J",-
12491161,"Yasui, Kotaro","Department of Microbiology, Tokyo Metropolitan Institute for Neuroscience, Tokyo, Japan. yasui@tmin.ac.jp"
12463474,"Demis, E","Rheumatology Department, René Descartes University, Cochin Hospital, Paris, France."
12463474,"Roux, C",-
12463474,"Breban, M",-
12463474,"Dougados, M",-
12470481,"Baluja Conde, Ileana B","Laboratorio de Anticuerpos Monoclonales, Centro de Inmunoensayo, Apartado 6653, Ave 25 y 134, Cubanacán, Playa, Ciudad Habana, Cuba. iqmonoclol@cie.sld.cu"
12470481,"Brito Moreno, Adys I",-
12470481,"Acosta Bas, Carmen",-
12470481,"Zalueta Rodríguez, Orlando",-
12470481,"Melchor Rodríguez, Antonio",-
12470481,"Amores Sanchéz, Isis",-
